#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-10-26T21:16:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ58111cd1150b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/445/423&tab:{J/A+A/445/423/table2}&tab:{J/A+A/445/423/cep}&key:source=J/A+A/445/423&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/A+A/445/423/table2,J/A+A/445/423/cep
#-order=I
#-out=Cl
#-out=RAJ2000
#-out=DEJ2000
#-out=RPer
#-out=RSig
#-out=IPer
#-out=ISig
#-out=Ramp
#-out=Iamp
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34450423
#Name: J/A+A/445/423
#Title: WeCAPP Survey. M31 variables (Fliri+, 2006)
#Table	J_A_A_445_423_table2:
#Name: J/A+A/445/423/table2
#Title: Variables in Group 1-3
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Cl	(A3)	Classification (3)	[ucd=meta.code;src.var]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	RPer	(F9.4)	? Period derived from R band data	[ucd=time.period]
#Column	RSig	(F6.2)	? -log10 of significance of RP (1)	[ucd=stat.fit.goodness]
#Column	IPer	(F9.4)	? Period derived from I band data	[ucd=time.period]
#Column	ISig	(F6.2)	? -log10 of significance of IP (1)	[ucd=stat.fit.goodness]
#Column	Ramp	(F6.2)	Amplitude in broad-band R filter (2)	[ucd=arith.rate;src.var.amplitude;em.opt.R]
#Column	Iamp	(F6.2)	Amplitude in broad-band I filter (2)	[ucd=arith.rate;src.var.amplitude;em.opt.I]
_RAJ2000;_DEJ2000;Cl;RAJ2000;DEJ2000;RPer;RSig;IPer;ISig;Ramp;Iamp
010.72083;+41.22744;S  ;00 42 53.00;+41 13 38.80; 134.7900; 36.51; 133.6300; 20.76;  0.98;  2.33
010.71554;+41.22669;S  ;00 42 51.73;+41 13 36.10; 164.5400; 58.96; 165.0700; 33.83;  1.19;  2.52
010.68358;+41.22636;S  ;00 42 44.06;+41 13 34.90; 185.9500; 34.19; 185.9600; 27.87;  1.17;  3.21
010.66987;+41.22744;S  ;00 42 40.77;+41 13 38.80; 198.3500; 13.48; 202.9200; 20.01;  0.78;  3.69
010.84688;+41.22761;S  ;00 43 23.25;+41 13 39.40; 250.9600; 35.31; 250.9600; 55.58;  0.75;  2.24
010.60183;+41.22642;S  ;00 42 24.44;+41 13 35.10; 252.8200; 21.06; 254.9100; 30.54;  0.69;  2.44
010.65975;+41.22736;S  ;00 42 38.34;+41 13 38.50; 257.0300; 22.00; 253.8800; 31.34;  0.94;  2.92
010.66050;+41.22669;S  ;00 42 38.52;+41 13 36.10; 242.8600; 27.76; 242.8700; 31.89;  1.12;  2.94
010.65429;+41.22739;I  ;00 42 37.03;+41 13 38.60; 108.9900; 18.87; 110.5500;  6.86;  0.76;  1.27
010.55092;+41.22681;S  ;00 42 12.22;+41 13 36.50; 350.5000;  4.35; 350.5000; 31.85;  0.51;  2.25
010.80471;+41.22747;S  ;00 43 13.13;+41 13 38.90; 253.0200; 49.43; 255.1100; 58.12;  0.91;  2.82
010.85021;+41.22728;S  ;00 43 24.05;+41 13 38.20; 222.0700; 36.03; 222.0800; 57.03;  0.77;  2.40
010.76783;+41.22764;S  ;00 43 04.28;+41 13 39.50; 211.4200; 45.09; 209.9900; 56.56;  0.85;  2.58
010.75667;+41.22756;S  ;00 43 01.60;+41 13 39.20; 358.6400; 21.18; 354.8100; 53.80;  0.63;  3.08
010.73692;+41.22778;S  ;00 42 56.86;+41 13 40.00; 163.3200; 21.79; 162.4700; 16.60;  0.74;  1.98
010.72713;+41.22725;I  ;00 42 54.51;+41 13 38.10; 109.8500; 11.91; 109.8500;  4.09;  0.71;  2.98
010.65458;+41.22686;S  ;00 42 37.10;+41 13 36.70; 205.6200; 24.07; 205.6200; 18.88;  0.96;  2.89
010.58529;+41.22642;I  ;00 42 20.47;+41 13 35.10; 172.7200; 18.15; 172.7200; 14.35;  0.77;  2.12
010.71229;+41.22753;S  ;00 42 50.95;+41 13 39.10; 233.8500; 37.61; 233.8500; 47.94;  0.88;  3.77
010.84412;+41.22742;S  ;00 43 22.59;+41 13 38.70; 208.5700; 70.80; 205.7900; 59.89;  1.02;  2.30
010.75242;+41.22736;S  ;00 43 00.58;+41 13 38.50;  98.9400; 29.55;  98.9400; 19.95;  0.73;  2.18
010.57025;+41.22708;I  ;00 42 16.86;+41 13 37.50; 167.0900;  7.12; 168.5500;  9.79;  0.48;  1.00
010.55496;+41.22700;I  ;00 42 13.19;+41 13 37.20; 104.5700;  8.32; 104.5700;  8.32;  0.55;  1.01
010.73092;+41.22786;S  ;00 42 55.42;+41 13 40.30; 285.8100; 19.34; 293.9900; 44.19;  0.69;  2.52
010.73362;+41.22650;S  ;00 42 56.07;+41 13 35.40; 164.1900; 42.21; 163.3300; 43.72;  0.93;  2.31
010.62533;+41.22736;S  ;00 42 30.08;+41 13 38.50; 268.2000; 13.65; 265.9000; 29.08;  0.79;  2.56
010.55621;+41.22667;I  ;00 42 13.49;+41 13 36.00; 161.4800; 18.21; 164.0600; 19.08;  0.45;  1.29
010.61125;+41.22731;S  ;00 42 26.70;+41 13 38.30; 338.9500;  9.88; 338.9500; 27.16;  0.65;  3.09
010.65979;+41.22692;S  ;00 42 38.35;+41 13 36.90; 218.7500; 17.86; 220.3200; 29.98;  0.94;  2.42
010.70058;+41.22758;S  ;00 42 48.14;+41 13 39.30; 220.4800; 51.13; 222.0800; 55.33;  1.04;  3.41
010.71979;+41.22672;S  ;00 42 52.75;+41 13 36.20; 243.0500; 40.32; 244.9900; 52.56;  1.13;  3.83
010.70842;+41.22697;S  ;00 42 50.02;+41 13 37.10; 259.3900; 35.96; 257.2400; 48.75;  0.96;  3.85
010.68217;+41.22739;S  ;00 42 43.72;+41 13 38.60; 324.9200; 18.33; 314.7300; 29.55;  0.86;  3.67
010.68317;+41.22747;S  ;00 42 43.96;+41 13 38.90; 114.7500; 20.69; 114.7500; 12.77;  0.71;  2.38
010.60721;+41.22675;S  ;00 42 25.73;+41 13 36.30; 125.3800; 22.29; 123.8700; 14.39;  0.72;  1.36
010.66163;+41.22675;S  ;00 42 38.79;+41 13 36.30; 265.8900; 27.52; 259.2000; 32.26;  1.28;  2.75
010.67242;+41.22711;S  ;00 42 41.38;+41 13 37.60; 265.8900; 19.02; 257.0400; 28.70;  0.92;  3.15
010.67187;+41.22658;S  ;00 42 41.25;+41 13 35.70; 201.5900; 16.47; 207.0100; 27.41;  0.81;  1.95
010.70908;+41.22794;S  ;00 42 50.18;+41 13 40.60;  78.9500; 43.50;  78.7500; 10.19;  0.81;  3.18
010.70737;+41.22739;S  ;00 42 49.77;+41 13 38.60; 171.4900; 38.85; 173.4200; 25.72;  0.78;  4.07
010.78608;+41.22867;S  ;00 43 08.66;+41 13 43.20; 270.7800; 24.56; 270.7800; 42.86;  0.55;  2.37
010.57983;+41.22725;S  ;00 42 19.16;+41 13 38.10; 261.3900; 16.03; 263.6300; 28.66;  0.57;  1.93
010.57533;+41.22725;S  ;00 42 18.08;+41 13 38.10; 252.8200; 16.29; 248.7400; 34.22;  0.53;  2.04
010.52292;+41.22700;S  ;00 42 05.50;+41 13 37.20; 259.1900; 13.15; 246.7500; 20.88;  0.58;  2.38
010.75062;+41.22781;S  ;00 43 00.15;+41 13 40.10; 302.6300; 27.81; 302.6300; 54.59;  0.71;  2.80
010.54117;+41.22531;I  ;00 42 09.88;+41 13 31.10; 317.9700; 17.41; 314.7400; 15.08;  1.14;  1.49
010.75967;+41.22764;S  ;00 43 02.32;+41 13 39.50; 220.4800; 55.59; 218.9300; 52.84;  0.71;  2.83
010.66450;+41.22711;I  ;00 42 39.48;+41 13 37.60; 106.7300; 15.24; 106.7300;  4.34;  1.07;  1.88
010.60704;+41.22719;S  ;00 42 25.69;+41 13 37.90; 189.2200; 26.28; 188.0700; 23.74;  0.81;  1.94
010.60087;+41.22647;S  ;00 42 24.21;+41 13 35.30; 217.2100; 24.67; 215.6900; 30.14;  1.20;  2.92
010.66500;+41.22761;S  ;00 42 39.60;+41 13 39.40; 259.1900; 17.64; 257.0400; 28.11;  0.81;  2.62
010.59646;+41.22717;S  ;00 42 23.15;+41 13 37.80; 119.5500; 22.18; 118.6300; 19.63;  0.81;  1.20
010.61367;+41.22719;S  ;00 42 27.28;+41 13 37.90; 275.3900; 25.31; 277.8800; 33.02;  0.69;  3.70
010.67221;+41.22756;I  ;00 42 41.33;+41 13 39.20; 168.5400; 16.24; 167.6300; 11.35;  0.83;  1.75
010.70900;+41.22850;S  ;00 42 50.16;+41 13 42.60; 293.9800;  9.31; 283.2000; 33.13;  0.90;  3.21
010.54025;+41.22653;S  ;00 42 09.66;+41 13 35.50; 242.8600; 33.96; 244.8000; 34.21;  0.73;  2.61
010.54800;+41.22756;S  ;00 42 11.52;+41 13 39.20; 256.2000; 12.69; 257.0400; 31.48;  0.45;  1.62
010.77533;+41.22825;S  ;00 43 06.08;+41 13 41.70; 324.9200; 38.76; 328.3900; 58.10;  0.73;  4.56
010.72521;+41.22792;S  ;00 42 54.05;+41 13 40.50; 308.6800; 31.89; 308.6900; 51.85;  0.76;  2.90
010.69162;+41.22778;S  ;00 42 45.99;+41 13 40.00; 324.9200; 29.24; 331.9200; 46.82;  1.06;  4.72
010.64788;+41.22761;S  ;00 42 35.49;+41 13 39.40; 261.3900;  5.85; 280.4000; 23.40;  0.77;  2.19
010.60208;+41.22733;S  ;00 42 24.50;+41 13 38.40; 193.9800; 22.40; 193.9800; 22.70;  0.77;  2.58
010.73487;+41.22833;I  ;00 42 56.37;+41 13 42.00;  87.6900;  5.13;  88.4500;  1.19;  0.68;  2.22
010.67525;+41.22806;I  ;00 42 42.06;+41 13 41.00;         ;      ;         ;      ;  0.60;  1.25
010.62825;+41.22819;S  ;00 42 30.78;+41 13 41.50; 282.9700; 17.74; 277.8800; 21.98;  0.62;  2.71
010.50400;+41.22706;I  ;00 42 00.96;+41 13 37.40; 231.9100;  9.03; 235.4500; 17.28;  0.44;  1.81
010.73333;+41.22844;S  ;00 42 56.00;+41 13 42.40;  19.2000; 13.24;  19.2000; 13.24;  0.84;  1.91
010.76217;+41.22744;DC ;00 43 02.92;+41 13 38.80;  11.2900; 74.31;  11.3000; 21.98;  1.19;  2.31
010.79567;+41.22772;S  ;00 43 10.96;+41 13 39.80; 215.8600; 58.53; 212.8900; 63.81;  1.44;  3.40
010.61042;+41.22714;S  ;00 42 26.50;+41 13 37.70; 214.1900; 27.32; 208.4100; 22.82;  1.06;  3.22
010.64887;+41.22778;S  ;00 42 35.73;+41 13 40.00; 308.4400; 14.58; 308.4400; 34.87;  0.81;  3.37
010.77687;+41.22836;S  ;00 43 06.45;+41 13 42.10; 239.2900; 25.55; 244.9900; 53.34;  0.72;  2.87
010.62817;+41.22764;I  ;00 42 30.76;+41 13 39.50; 308.4400; 13.17; 296.5800; 15.31;  0.82;  2.88
010.74117;+41.22753;S  ;00 42 57.88;+41 13 39.10; 288.4800; 50.24; 283.2000; 58.61;  1.33;  4.70
010.73042;+41.22814;S  ;00 42 55.30;+41 13 41.30; 273.1700; 26.74; 280.6200; 58.90;  0.68;  2.71
010.73475;+41.22725;S  ;00 42 56.34;+41 13 38.10; 189.3700; 54.68; 185.9600; 39.54;  0.99;  2.46
010.59712;+41.22783;L  ;00 42 23.31;+41 13 40.20;         ;      ;         ;      ;  0.54;  3.83
010.58350;+41.22772;S  ;00 42 20.04;+41 13 39.80; 179.7900;  6.96; 177.2700; 25.46;  0.54;  1.86
010.52437;+41.22736;I  ;00 42 05.85;+41 13 38.50; 158.9900; 15.59; 158.9900; 14.87;  0.45;  1.06
010.81233;+41.22850;S  ;00 43 14.96;+41 13 42.60; 171.4900; 43.89; 177.4100; 20.33;  0.72;  1.50
010.69496;+41.22628;S  ;00 42 46.79;+41 13 34.60; 204.4200; 39.80; 200.4500; 32.72;  1.07;  3.25
010.60462;+41.22797;I  ;00 42 25.11;+41 13 40.70;         ;      ;         ;      ;  0.45;  1.50
010.84475;+41.22911;S  ;00 43 22.74;+41 13 44.80; 299.6900; 25.08; 305.6300; 54.73;  0.65;  3.11
010.84333;+41.22839;S  ;00 43 22.40;+41 13 42.20; 190.5400; 28.54; 190.5500; 37.84;  0.71;  2.10
010.79850;+41.22828;S  ;00 43 11.64;+41 13 41.80; 440.9800; 10.26; 440.9800; 20.56;  0.78;  3.12
010.56887;+41.22778;S  ;00 42 16.53;+41 13 40.00; 335.2600;  6.87; 324.6800; 25.00;  0.43;  1.58
010.75342;+41.22794;S  ;00 43 00.82;+41 13 40.60; 305.6200; 44.94; 311.8000; 61.51;  0.73;  3.42
010.74425;+41.22794;S  ;00 42 58.62;+41 13 40.60; 159.1100; 64.81; 156.6900; 37.97;  1.03;  2.29
010.78162;+41.22739;S  ;00 43 07.59;+41 13 38.60; 255.1100; 38.47; 259.4000; 45.81;  0.93;  2.85
010.76608;+41.22850;S  ;00 43 03.86;+41 13 42.60; 212.8800; 49.58; 215.8600; 58.36;  0.70;  2.71
010.57179;+41.22742;S  ;00 42 17.23;+41 13 38.70; 163.1900; 30.92; 162.3400; 23.28;  0.76;  1.36
010.71596;+41.22858;S  ;00 42 51.83;+41 13 42.90; 167.7600; 34.67; 167.7600; 29.38;  0.72;  2.42
010.69296;+41.22847;I  ;00 42 46.31;+41 13 42.50;  93.8200; 16.67;  93.8200;  4.62;  0.83;  2.38
010.69829;+41.22814;S  ;00 42 47.59;+41 13 41.30; 185.9500; 48.05; 189.3800; 40.47;  1.13;  3.12
010.58813;+41.22717;S  ;00 42 21.15;+41 13 37.80; 272.0700; 22.71; 272.9600; 34.55;  0.65;  2.92
010.81325;+41.22900;S  ;00 43 15.18;+41 13 44.40; 163.3200; 31.56; 160.7700; 24.95;  0.68;  1.60
010.68983;+41.22844;S  ;00 42 45.56;+41 13 42.40; 200.4400;  6.96; 197.8800; 22.67;  0.88;  3.21
010.69600;+41.22772;S  ;00 42 47.04;+41 13 39.80; 214.3600; 55.34; 208.5700; 50.92;  1.10;  3.54
010.73987;+41.22725;S  ;00 42 57.57;+41 13 38.10; 196.6100; 58.64; 195.3700; 55.22;  0.91;  2.75
010.62392;+41.22825;I  ;00 42 29.74;+41 13 41.70; 116.8300;  6.02; 116.8300; 18.29;  0.55;  1.07
010.77012;+41.22711;S  ;00 43 04.83;+41 13 37.60; 270.7700; 50.02; 266.1100; 62.03;  0.90;  3.54
010.63925;+41.22803;S  ;00 42 33.42;+41 13 40.90; 133.9900; 27.86; 133.9900; 20.62;  0.82;  2.66
010.61225;+41.22811;S  ;00 42 26.94;+41 13 41.20; 308.4400;  7.69; 299.4600; 27.69;  0.57;  2.40
010.61408;+41.22781;S  ;00 42 27.38;+41 13 40.10; 207.0000; 24.06; 205.6300; 22.18;  0.71;  2.14
010.70600;+41.22611;S  ;00 42 49.44;+41 13 34.00; 321.5500; 36.66; 321.5500; 47.43;  1.09;  5.54
010.58521;+41.22800;S  ;00 42 20.45;+41 13 40.80; 287.3300;  4.42; 305.3900; 27.33;  0.56;  2.10
010.72758;+41.22839;S  ;00 42 54.62;+41 13 42.20; 142.9100; 44.88; 142.9100; 19.98;  0.82;  1.92
010.51892;+41.22767;S  ;00 42 04.54;+41 13 39.60; 342.7100;  7.83; 335.2600; 24.50;  0.40;  1.92
010.77108;+41.22894;S  ;00 43 05.06;+41 13 44.20; 223.6800; 40.13; 223.6900; 49.47;  0.72;  2.64
010.73938;+41.22881;S  ;00 42 57.45;+41 13 43.70; 268.4200; 25.41; 263.8300; 51.73;  0.78;  3.23
010.58833;+41.22767;S  ;00 42 21.20;+41 13 39.60; 164.4100; 29.37; 164.0600; 24.75;  0.72;  1.86
010.71017;+41.22864;I  ;00 42 50.44;+41 13 43.10;  97.9900; 19.95;  98.3100; 15.13;  0.83;  2.26
010.67596;+41.22817;S  ;00 42 42.23;+41 13 41.40; 189.2200; 24.45; 188.0700; 21.60;  1.00;  2.45
010.70150;+41.22517;S  ;00 42 48.36;+41 13 30.60; 257.2300; 38.88; 259.4000; 36.58;  1.32;  5.56
010.66104;+41.22742;S  ;00 42 38.65;+41 13 38.70; 225.1400; 26.69; 223.5100; 29.00;  0.90;  2.61
010.63575;+41.22783;S  ;00 42 32.58;+41 13 40.20; 201.5900; 24.11; 200.2900; 25.35;  0.71;  2.02
010.63983;+41.22775;S  ;00 42 33.56;+41 13 39.90; 380.7800; 28.92; 380.7900; 35.89;  0.80;  3.38
010.84621;+41.22869;S  ;00 43 23.09;+41 13 43.30; 244.9800; 54.21; 246.9500; 62.13;  0.77;  3.17
010.80258;+41.22817;S  ;00 43 12.62;+41 13 41.40; 155.1100; 64.05; 154.3400; 39.88;  0.84;  1.95
010.75000;+41.22864;S  ;00 43 00.00;+41 13 43.10; 100.7900; 35.84; 100.5500; 15.37;  0.76;  2.04
010.66808;+41.22856;S  ;00 42 40.34;+41 13 42.80; 252.8200; 14.29; 250.7700; 30.87;  0.71;  2.32
010.74913;+41.22872;S  ;00 42 59.79;+41 13 43.40; 250.9600; 50.72; 253.0200; 57.33;  0.85;  2.97
010.63879;+41.22881;S  ;00 42 33.31;+41 13 43.70; 277.8700;  6.43; 261.3900; 27.35;  0.68;  2.15
010.60321;+41.22825;S  ;00 42 24.77;+41 13 41.70; 268.2000; 11.46; 268.2100; 29.64;  0.66;  2.01
010.83375;+41.22867;S  ;00 43 20.10;+41 13 43.20; 196.6100; 58.25; 195.3700; 45.51;  0.97;  2.44
010.60467;+41.22861;I  ;00 42 25.12;+41 13 43.00; 142.7900; 12.03; 145.4900; 10.29;  0.53;  1.04
010.55437;+41.22758;S  ;00 42 13.05;+41 13 39.30; 345.4400; 18.41; 358.6500; 27.90;  0.55;  2.88
010.73158;+41.22861;S  ;00 42 55.58;+41 13 43.00; 246.9400; 40.94; 246.9400; 36.06;  0.91;  3.36
010.59912;+41.22822;S  ;00 42 23.79;+41 13 41.60; 202.9200; 20.73; 202.9200; 31.80;  0.55;  1.75
010.55588;+41.22831;S  ;00 42 13.41;+41 13 41.90; 272.0700; 10.21; 272.9600; 30.43;  0.42;  1.62
010.57075;+41.22803;I  ;00 42 16.98;+41 13 40.90; 172.3100; 12.50; 177.2700; 11.86;  0.47;  1.12
010.55262;+41.22797;S  ;00 42 12.63;+41 13 40.70; 280.4000; 10.27; 280.4000; 32.67;  0.58;  2.01
010.81754;+41.22931;S  ;00 43 16.21;+41 13 45.50; 131.3500; 37.04; 131.3600; 24.63;  0.65;  1.74
010.63808;+41.22808;S  ;00 42 33.14;+41 13 41.10; 285.5900; 27.22; 282.9700; 34.58;  0.91;  4.25
010.69692;+41.22800;S  ;00 42 47.26;+41 13 40.80; 199.7900; 41.47; 199.7900; 25.19;  1.04;  3.67
010.65950;+41.22806;S  ;00 42 38.28;+41 13 41.00; 223.3200; 27.24; 228.4800; 35.48;  1.21;  3.52
010.79483;+41.22825;S  ;00 43 10.76;+41 13 41.70; 193.2400; 71.58; 193.1800; 66.04;  1.16;  2.94
010.78842;+41.22831;S  ;00 43 09.22;+41 13 41.90; 180.5100; 51.79; 179.4700; 31.34;  0.91;  2.68
010.50312;+41.22714;S  ;00 42 00.75;+41 13 37.70; 342.7100; 21.88; 338.9500; 30.98;  0.56;  2.79
010.70179;+41.22753;S  ;00 42 48.43;+41 13 39.10; 283.2000; 31.89; 283.2000; 41.31;  1.22;  4.04
010.60092;+41.22767;S  ;00 42 24.22;+41 13 39.60; 177.2600; 25.38; 181.4400; 31.51;  0.81;  3.12
010.61125;+41.22806;S  ;00 42 26.70;+41 13 41.00; 177.2600; 30.77; 179.3300; 22.93;  0.71;  1.95
010.71421;+41.22900;S  ;00 42 51.41;+41 13 44.40; 100.8800; 25.06; 100.5500; 11.46;  0.96;  2.19
010.76146;+41.22850;S  ;00 43 02.75;+41 13 42.60; 208.5700; 46.50; 207.1700; 47.89;  0.65;  2.14
010.79554;+41.22900;S  ;00 43 10.93;+41 13 44.40; 308.6800; 28.06; 311.8000; 53.55;  0.65;  2.94
010.76942;+41.22889;S  ;00 43 04.66;+41 13 44.00; 196.6100; 46.51; 195.3700; 46.17;  0.82;  2.31
010.54025;+41.22797;S  ;00 42 09.66;+41 13 40.70;  44.9000;  6.29;  44.6400;  3.71;  0.52;  0.97
010.63421;+41.22889;I  ;00 42 32.21;+41 13 44.00;         ;      ;         ;      ;  0.48;  1.33
010.72021;+41.22819;S  ;00 42 52.85;+41 13 41.50;  57.9100; 31.36;  58.0200; 14.73;  0.91;  2.19
010.69646;+41.22867;S  ;00 42 47.15;+41 13 43.20; 305.6200; 33.61; 305.6300; 53.50;  0.94;  4.38
010.74362;+41.22789;S  ;00 42 58.47;+41 13 40.40; 161.6100; 69.63; 161.6100; 29.67;  1.32;  3.06
010.75725;+41.22967;I  ;00 43 01.74;+41 13 46.80;         ;      ;         ;      ;  0.49;  1.86
010.65262;+41.22839;S  ;00 42 36.63;+41 13 42.20; 246.7500; 21.66; 250.7700; 34.15;  0.77;  2.80
010.74529;+41.22961;S  ;00 42 58.87;+41 13 46.60; 354.8000; 10.19; 342.9900; 37.71;  0.78;  3.94
010.80871;+41.22919;S  ;00 43 14.09;+41 13 45.10; 324.9200; 43.62; 328.3900; 54.97;  0.71;  3.08
010.67838;+41.22831;S  ;00 42 42.81;+41 13 41.90; 268.2000; 21.40; 265.9000; 32.23;  0.81;  2.53
010.65325;+41.22914;I  ;00 42 36.78;+41 13 44.90; 108.6000; 15.65; 109.7700; 14.46;  0.71;  1.56
010.79854;+41.22914;S  ;00 43 11.65;+41 13 44.90; 226.9700; 44.71; 228.6600; 51.95;  0.62;  2.40
010.76808;+41.22897;S  ;00 43 04.34;+41 13 44.30; 266.1000; 29.37; 266.1100; 53.68;  0.75;  3.00
010.80242;+41.22958;S  ;00 43 12.58;+41 13 46.50; 180.5100;  6.74; 177.4100; 21.65;  0.71;  1.84
010.65267;+41.22708;S  ;00 42 36.64;+41 13 37.50; 223.5000; 20.33; 225.1400; 31.60;  1.09;  2.44
010.59175;+41.22633;S  ;00 42 22.02;+41 13 34.80; 202.7500; 28.11; 201.6000; 30.83;  1.09;  2.85
010.72558;+41.22894;S  ;00 42 54.14;+41 13 44.20; 339.2100; 32.42; 331.9200; 54.10;  0.75;  2.98
010.68871;+41.22875;S  ;00 42 45.29;+41 13 43.50; 150.5700; 28.90; 149.1200;  9.07;  0.74;  2.85
010.56275;+41.22775;S  ;00 42 15.06;+41 13 39.90; 181.4300; 28.72; 181.4400; 26.97;  1.28;  2.32
010.63662;+41.22856;S  ;00 42 32.79;+41 13 42.80; 270.3400;  9.98; 263.6300; 22.78;  0.56;  2.01
010.59579;+41.22825;S  ;00 42 22.99;+41 13 41.70; 237.2600; 15.22; 240.9700; 31.60;  0.68;  2.05
010.51700;+41.22747;S  ;00 42 04.08;+41 13 38.90; 183.5900; 33.82; 182.5100; 33.02;  0.72;  2.18
010.83658;+41.22939;S  ;00 43 20.78;+41 13 45.80; 293.9800; 16.14; 296.8100; 52.07;  0.76;  2.17
010.82371;+41.22939;S  ;00 43 17.69;+41 13 45.80; 167.7600; 25.29; 167.7600; 36.12;  0.53;  1.62
010.67887;+41.22756;I  ;00 42 42.93;+41 13 39.20;         ;      ;         ;      ;  0.86;  1.78
010.71075;+41.22958;S  ;00 42 50.58;+41 13 46.50; 253.0200; 23.69; 253.0200; 20.76;  0.82;  2.60
010.65762;+41.22858;S  ;00 42 37.83;+41 13 42.90; 204.9600; 13.87; 205.6300; 28.29;  1.59;  2.71
010.71658;+41.22925;S  ;00 42 51.98;+41 13 45.30; 232.0900; 39.30; 232.1000; 54.62;  0.91;  3.26
010.69775;+41.22881;S  ;00 42 47.46;+41 13 43.70; 255.1100; 58.61; 246.9500; 54.16;  1.02;  4.93
010.80646;+41.23003;I  ;00 43 13.55;+41 13 48.10;         ;      ;         ;      ;  0.46;  1.45
010.75163;+41.22808;S  ;00 43 00.39;+41 13 41.10; 144.9200; 48.93; 146.3000; 35.30;  0.92;  2.87
010.69925;+41.22883;S  ;00 42 47.82;+41 13 43.80; 283.1900; 31.36; 285.8200; 53.45;  0.80;  4.47
010.73429;+41.22900;S  ;00 42 56.23;+41 13 44.40;  21.5300; 35.02;  21.5000;  7.78;  0.67;  2.17
010.68154;+41.22872;S  ;00 42 43.57;+41 13 43.40; 163.1900; 24.88; 159.1700; 15.04;  0.97;  2.04
010.70608;+41.22844;S  ;00 42 49.46;+41 13 42.40; 228.6600; 21.89; 228.6600; 36.95;  0.84;  3.08
010.64933;+41.22928;S  ;00 42 35.84;+41 13 45.40; 290.9800; 11.01; 288.2600; 32.19;  0.78;  2.94
010.65908;+41.22714;S  ;00 42 38.18;+41 13 37.70; 261.3900; 29.19; 261.3900; 35.39;  1.56;  4.77
010.66908;+41.22853;S  ;00 42 40.58;+41 13 42.70; 275.3900; 20.18; 285.5900; 31.00;  0.84;  2.79
010.63633;+41.22931;S  ;00 42 32.72;+41 13 45.50; 250.7600; 13.75; 248.7400; 31.34;  0.65;  2.25
010.66567;+41.22875;S  ;00 42 39.76;+41 13 43.50; 186.9300; 25.53; 186.9300; 15.23;  0.81;  1.78
010.74329;+41.22853;S  ;00 42 58.39;+41 13 42.70; 143.5700; 55.37; 144.2500; 36.34;  1.02;  2.77
010.52475;+41.22803;S  ;00 42 05.94;+41 13 40.90; 324.6700; 15.32; 317.9800; 31.00;  0.50;  1.92
010.62879;+41.22894;S  ;00 42 30.91;+41 13 44.20; 311.5500; 15.46; 311.5600; 21.26;  0.63;  3.19
010.85242;+41.22931;S  ;00 43 24.58;+41 13 45.50; 244.9800; 49.04; 246.9500; 62.39;  1.04;  3.08
010.54908;+41.22850;S  ;00 42 11.78;+41 13 42.60; 296.3500; 15.69; 293.5200; 32.61;  0.52;  1.94
010.79025;+41.22939;S  ;00 43 09.66;+41 13 45.80; 205.7900; 49.11; 201.7600; 43.83;  0.73;  1.99
010.75121;+41.22892;S  ;00 43 00.29;+41 13 44.10; 278.0900; 39.56; 275.6100; 53.78;  0.87;  3.67
010.75917;+41.22858;S  ;00 43 02.20;+41 13 42.90; 194.1400; 62.02; 192.9300; 53.36;  1.05;  2.84
010.74396;+41.22922;S  ;00 42 58.55;+41 13 45.20; 321.5400; 32.86; 314.9900; 55.30;  0.74;  3.95
010.74971;+41.22992;S  ;00 42 59.93;+41 13 47.70; 248.9300; 19.32; 248.9400; 42.14;  0.62;  2.12
010.51642;+41.22867;S  ;00 42 03.94;+41 13 43.20; 354.5200;  6.70; 362.8700; 27.80;  0.45;  2.35
010.74604;+41.22989;S  ;00 42 59.05;+41 13 47.60; 324.1400; 11.67; 316.4200; 28.96;  0.63;  2.65
010.51271;+41.22864;I  ;00 42 03.05;+41 13 43.10; 358.6500;  7.66; 338.9500; 19.27;  0.54;  2.38
