#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
012609.92+143225.1; 1.3612; 1.9e+01; 19.7; 6.03e+08; 1.27e+08;021.54133;+14.54032
012619.99+144913.9; 1.3751; 2.9e+01; 23.4; 1.02e+09; 2.16e+08;021.58329;+14.82053
012630.12-085948.9; 1.7029; 1.3e+02; 17.3; 1.19e+09; 2.51e+08;021.62550;-08.99694
012630.37-010500.6; 1.6056; 1.4e+02; 19.6; 1.57e+09; 3.30e+08;021.62658;-01.08351
012633.06-092022.5; 1.4008; 5.3e+01; 23.9; 1.44e+09; 3.03e+08;021.63777;-09.33960
012635.51+132500.3; 1.5914; 3.8e+01; 18.3; 7.32e+08; 1.54e+08;021.64797;+13.41677
012642.84-084652.4; 1.3430; 7.0e+01; 16.7; 8.24e+08; 1.74e+08;021.67850;-08.78124
012653.53+151345.9; 1.3644; 5.4e+01; 25.7; 1.69e+09; 3.57e+08;021.72305;+15.22942
012653.69+145228.1; 0.8594; 4.2e+00; 18.2; 2.38e+08; 5.02e+07;021.72373;+14.87449
012654.31+144135.8; 0.8413; 1.3e+01; 17.9; 3.66e+08; 7.71e+07;021.72632;+14.69330
012700.37+140822.6; 1.6549; 2.3e+01; 14.3; 3.51e+08; 7.40e+07;021.75154;+14.13961
012700.85+141525.6; 1.6912; 1.8e+01; 17.8; 4.84e+08; 1.02e+08;021.75357;+14.25711
012702.52+011412.4; 1.1574; 1.1e+02; 25.3; 2.31e+09; 4.86e+08;021.76052;+01.23680
012712.49+151917.4; 1.7927; 3.0e+01; 21.0; 8.63e+08; 1.82e+08;021.80208;+15.32152
012717.44-092417.6; 0.9708; 7.2e+01; 18.8; 1.06e+09; 2.23e+08;021.82271;-09.40491
012721.36+143316.4; 1.3938; 1.9e+01; 18.4; 5.43e+08; 1.14e+08;021.83901;+14.55456
012722.89+143623.7; 0.8451; 2.1e+01; 15.1; 3.69e+08; 7.77e+07;021.84539;+14.60658
012729.61+133942.9; 0.8639; 2.7e+01; 22.1; 8.88e+08; 1.87e+08;021.87339;+13.66193
012732.42-090015.4; 1.3717; 3.0e+01; 22.2; 9.49e+08; 2.00e+08;021.88510;-09.00429
012732.81-084641.6; 0.7710; 2.0e+01; 15.6; 3.79e+08; 7.97e+07;021.88671;-08.77823
012739.96+133026.5; 1.1568; 2.1e+01; 21.0; 7.19e+08; 1.51e+08;021.91653;+13.50737
012745.74-094407.7; 1.7104; 6.5e+01; 16.6; 7.75e+08; 1.63e+08;021.94059;-09.73548
012747.27+140325.3; 1.7470; 6.1e+01; 17.1; 8.01e+08; 1.69e+08;021.94699;+14.05703
012809.63-004854.9; 0.7996; 2.4e+01; 21.1; 7.57e+08; 1.60e+08;022.04015;-00.81526
012812.12+141405.4; 1.8669; 8.6e+01; 17.6; 9.82e+08; 2.07e+08;022.05050;+14.23484
012815.05-005232.5; 1.8797; 1.0e+02; 20.0; 1.39e+09; 2.92e+08;022.06272;-00.87571
012821.14+133627.1; 1.8373; 4.3e+01; 12.5; 3.46e+08; 7.29e+07;022.08810;+13.60755
012823.64+004149.8; 1.6709; 4.5e+01; 17.8; 7.45e+08; 1.57e+08;022.09853;+00.69717
012825.99+001833.2; 1.3083; 6.0e+01; 20.5; 1.14e+09; 2.40e+08;022.10831;+00.30922
012826.48+141826.4; 1.1429; 4.6e+01; 21.1; 1.04e+09; 2.20e+08;022.11036;+14.30735
012833.53+131032.5; 1.3789; 3.8e+01; 21.5; 9.80e+08; 2.06e+08;022.13973;+13.17570
012835.78+141601.1; 1.8768; 1.2e+02; 21.6; 1.73e+09; 3.64e+08;022.14911;+14.26699
012838.85+144933.9; 1.3730; 9.0e+01; 18.2; 1.09e+09; 2.30e+08;022.16189;+14.82610
012840.52+134756.3; 1.8746; 1.7e+02; 15.1; 1.04e+09; 2.19e+08;022.16884;+13.79897
012841.86-003317.0; 1.6567; 1.4e+02; 18.0; 1.31e+09; 2.76e+08;022.17445;-00.55475
012849.31-001617.3; 0.8521; 3.9e+01; 14.4; 4.51e+08; 9.50e+07;022.20549;-00.27149
012853.33+143033.0; 1.0876; 2.8e+01; 24.5; 1.11e+09; 2.34e+08;022.22224;+14.50919
012854.45+142744.8; 1.6577; 4.0e+01; 18.7; 7.91e+08; 1.67e+08;022.22688;+14.46245
012855.42+145202.5; 1.0122; 6.4e+00; 16.3; 2.42e+08; 5.09e+07;022.23093;+14.86737
012857.79+002620.9; 1.8769; 7.7e+01; 17.8; 1.00e+09; 2.11e+08;022.24083;+00.43914
012858.45+152647.4; 1.8380; 3.6e+01; 17.6; 6.43e+08; 1.35e+08;022.24355;+15.44652
012901.16+132235.9; 1.8726; 6.8e+01; 22.1; 1.45e+09; 3.05e+08;022.25487;+13.37667
012907.71+001312.8; 1.2137; 3.1e+01; 21.3; 8.82e+08; 1.86e+08;022.28215;+00.22024
012907.90+153306.3; 1.6910; 2.4e+01; 17.2; 5.04e+08; 1.06e+08;022.28293;+15.55176
012913.70+011428.0; 1.7829; 9.1e+01; 21.3; 1.55e+09; 3.26e+08;022.30711;+01.24111
012915.91+145800.9; 1.2064; 5.1e+01; 17.1; 7.23e+08; 1.52e+08;022.31629;+14.96692
012919.53+153049.9; 1.7962; 1.2e+02; 20.4; 1.62e+09; 3.41e+08;022.33139;+15.51387
012923.47+144622.9; 1.3739; 1.6e+01; 19.0; 5.13e+08; 1.08e+08;022.34782;+14.77305
012927.70+130839.7; 1.7888; 7.2e+01; 19.3; 1.14e+09; 2.39e+08;022.36543;+13.14439
012929.87+144328.6; 0.8000; 5.8e+00; 16.7; 2.28e+08; 4.81e+07;022.37448;+14.72462
012931.11+132123.3; 0.9709; 7.3e+00; 20.1; 3.97e+08; 8.35e+07;022.37966;+13.35648
012934.23+143051.9; 0.8898; 9.0e+00; 13.6; 1.87e+08; 3.94e+07;022.39263;+14.51444
012940.28+150110.1; 1.4913; 3.6e+01; 15.9; 5.37e+08; 1.13e+08;022.41787;+15.01949
012949.44+135644.5; 1.2134; 5.1e+01; 18.6; 8.75e+08; 1.84e+08;022.45601;+13.94571
012955.35+144647.8; 1.6299; 3.7e+01; 17.6; 6.58e+08; 1.39e+08;022.48063;+14.77996
013001.96+143627.9; 1.2422; 2.0e+01; 16.7; 4.43e+08; 9.33e+07;022.50818;+14.60778
013008.18+152817.2; 1.7268; 3.9e+01; 18.0; 7.27e+08; 1.53e+08;022.53409;+15.47147
013008.89-101907.6; 1.0044; 8.2e+01; 20.5; 1.32e+09; 2.77e+08;022.53708;-10.31879
013011.98+131817.7; 1.9303; 4.8e+01; 24.3; 1.32e+09; 2.77e+08;022.54992;+13.30494
013013.27+145317.8; 1.2169; 2.4e+01; 14.6; 3.72e+08; 7.83e+07;022.55533;+14.88829
013017.66-100434.6; 1.2092; 2.4e+01; 16.8; 4.91e+08; 1.03e+08;022.57362;-10.07630
013020.44-094735.3; 1.1960; 5.8e+01; 22.8; 1.36e+09; 2.87e+08;022.58520;-09.79314
013022.09+143004.7; 1.3646; 4.4e+01; 22.6; 1.18e+09; 2.49e+08;022.59206;+14.50132
013024.78+151955.6; 1.5885; 8.0e+01; 17.3; 9.43e+08; 1.99e+08;022.60325;+15.33212
013026.13+145029.9; 1.2353; 3.6e+01; 15.1; 4.74e+08; 9.99e+07;022.60889;+14.84166
013031.67-094921.7; 1.6876; 8.9e+01; 17.7; 1.03e+09; 2.17e+08;022.63200;-09.82271
013048.68+135339.6; 1.4441; 2.2e+01; 16.4; 4.45e+08; 9.38e+07;022.70285;+13.89435
013049.03-083113.0; 1.2219; 2.3e+01; 16.4; 4.50e+08; 9.48e+07;022.70431;-08.52029
013050.97-104630.7; 1.6609; 1.4e+02; 19.3; 1.54e+09; 3.23e+08;022.71238;-10.77520
013051.89+152511.2; 1.3036; 3.4e+01; 22.1; 1.02e+09; 2.14e+08;022.71624;+15.41980
013102.33+145843.1; 1.9339; 4.8e+01; 20.6; 9.97e+08; 2.10e+08;022.75973;+14.97866
013105.30+133954.0; 1.8916; 5.5e+01; 24.5; 1.53e+09; 3.21e+08;022.77211;+13.66500
013110.61+132030.6; 1.4194; 2.6e+01; 23.7; 1.01e+09; 2.14e+08;022.79423;+13.34185
013114.43-004127.1; 1.3980; 6.9e+01; 25.3; 1.89e+09; 3.99e+08;022.81016;-00.69087
013115.74-102703.3; 1.3876; 3.3e+01; 18.3; 6.71e+08; 1.41e+08;022.81559;-10.45094
013119.38+151222.4; 1.5241; 6.3e+01; 17.1; 8.24e+08; 1.74e+08;022.83076;+15.20622
013121.48-005115.7; 1.4029; 4.6e+01; 18.6; 8.12e+08; 1.71e+08;022.83953;-00.85438
013127.87-092200.5; 0.9459; 4.0e+01; 16.3; 5.88e+08; 1.24e+08;022.86613;-09.36681
013128.25+003227.6; 0.8112; 1.2e+01; 23.2; 6.45e+08; 1.36e+08;022.86773;+00.54102
013131.98-082943.5; 1.2465; 7.8e+01; 19.8; 1.20e+09; 2.53e+08;022.88327;-08.49544
013133.40+153015.4; 0.9049; 1.6e+01; 15.8; 3.56e+08; 7.50e+07;022.88918;+15.50428
013136.44+130331.0; 1.5889; 2.9e+02; 16.8; 1.66e+09; 3.50e+08;022.90186;+13.05863
013139.20-095207.6; 1.4113; 3.8e+01; 18.1; 7.02e+08; 1.48e+08;022.91336;-09.86880
013143.59-100420.9; 1.2475; 3.4e+01; 20.1; 8.34e+08; 1.76e+08;022.93166;-10.07248
013146.41+151835.2; 1.6601; 3.8e+01; 21.8; 1.00e+09; 2.12e+08;022.94340;+15.30978
013146.43-084104.1; 1.6512; 6.0e+01; 16.4; 7.43e+08; 1.57e+08;022.94350;-08.68448
013146.70+141840.6; 1.4191; 2.5e+02; 18.9; 1.96e+09; 4.14e+08;022.94460;+14.31129
013159.12+002311.7; 0.7835; 1.5e+01; 16.8; 3.89e+08; 8.19e+07;022.99635;+00.38658
013202.93+004737.1; 1.8044; 4.2e+01; 18.1; 8.11e+08; 1.71e+08;023.01222;+00.79366
013209.76-082350.0; 1.1243; 4.2e+01; 18.7; 7.88e+08; 1.66e+08;023.04067;-08.39722
013209.81-095121.9; 1.7046; 7.8e+01; 19.2; 1.14e+09; 2.41e+08;023.04088;-09.85610
013224.39-081612.2; 1.6309; 2.8e+01; 21.8; 8.38e+08; 1.77e+08;023.10164;-08.27008
013230.87-004652.9; 1.8877; 1.1e+02; 18.8; 1.30e+09; 2.74e+08;023.12863;-00.78137
013233.90+011607.2; 1.7910; 1.0e+02; 21.4; 1.62e+09; 3.41e+08;023.14126;+01.26868
013235.29-002704.8; 1.3275; 2.8e+02; 21.6; 2.75e+09; 5.79e+08;023.14706;-00.45133
013237.00+142238.5; 1.6412; 2.0e+01; 17.5; 4.94e+08; 1.04e+08;023.15420;+14.37738
013245.30-004610.0; 1.4727; 7.6e+01; 17.5; 9.24e+08; 1.95e+08;023.18875;-00.76945
013246.70+145922.4; 1.2296; 2.8e+01; 20.1; 7.34e+08; 1.55e+08;023.19459;+14.98957
013249.06+151202.4; 1.8403; 7.2e+01; 18.7; 1.03e+09; 2.17e+08;023.20443;+15.20068
013251.34-085705.7; 1.7433; 5.7e+01; 19.5; 9.87e+08; 2.08e+08;023.21393;-08.95158
013256.60+000554.5; 1.8039; 1.4e+02; 21.0; 1.84e+09; 3.88e+08;023.23585;+00.09849
013258.47+143109.4; 1.4109; 1.9e+01; 20.6; 6.20e+08; 1.31e+08;023.24366;+14.51930
013305.76-104000.9; 1.9307; 5.3e+01; 19.4; 1.02e+09; 2.15e+08;023.27401;-10.66692
013309.48+143306.7; 1.6419; 5.0e+02; 19.6; 2.99e+09; 6.31e+08;023.28954;+14.55188
013314.35+151036.0; 0.8010; 2.7e+01; 14.1; 3.58e+08; 7.55e+07;023.30982;+15.17669
013317.60+132158.2; 1.6806; 1.6e+01; 25.9; 9.93e+08; 2.09e+08;023.32334;+13.36617
013319.49+151737.4; 1.0235; 1.0e+01; 20.6; 4.70e+08; 9.90e+07;023.33121;+15.29375
013325.19+135339.9; 1.5996; 2.9e+01; 16.4; 5.05e+08; 1.06e+08;023.35497;+13.89443
013329.24-094537.4; 1.4212; 6.9e+01; 24.5; 1.75e+09; 3.68e+08;023.37187;-09.76040
013330.61-104039.7; 1.1287; 3.1e+01; 21.5; 9.03e+08; 1.90e+08;023.37755;-10.67769
013339.56-102116.3; 1.0213; 2.3e+01; 18.9; 5.81e+08; 1.22e+08;023.41485;-10.35455
013343.45+145117.2; 1.4861; 7.6e+00; 15.3; 2.27e+08; 4.78e+07;023.43108;+14.85479
013350.74+140620.4; 1.4390; 1.9e+02; 17.1; 1.40e+09; 2.94e+08;023.46144;+14.10568
013358.91+134049.1; 1.9008; 9.2e+00; 17.7; 3.05e+08; 6.42e+07;023.49548;+13.68031
013403.10+151839.8; 1.0058; 1.7e+01; 19.5; 5.49e+08; 1.16e+08;023.51294;+15.31106
013403.93-095511.3; 1.1020; 3.1e+01; 16.6; 5.35e+08; 1.13e+08;023.51639;-09.91981
013404.08+140107.8; 1.8126; 2.4e+01; 19.0; 6.35e+08; 1.34e+08;023.51704;+14.01885
013405.76+005109.4; 1.5198; 1.2e+02; 22.9; 1.98e+09; 4.16e+08;023.52403;+00.85262
013406.95-001714.3; 1.4618; 4.4e+01; 16.5; 6.30e+08; 1.33e+08;023.52898;-00.28731
013407.86+135644.0; 0.9375; 8.5e+00; 19.4; 3.84e+08; 8.09e+07;023.53277;+13.94556
013412.07-102809.6; 1.3128; 4.4e+01; 17.9; 7.38e+08; 1.56e+08;023.55031;-10.46935
013413.55+142900.1; 0.4953; 6.0e+00;  3.6; 1.05e+07; 2.20e+06;023.55648;+14.48337
013414.49-093956.9; 1.9278; 8.2e+01; 15.7; 7.91e+08; 1.67e+08;023.56041;-09.66582
013415.48-005541.0; 1.7568; 2.4e+02; 18.6; 1.91e+09; 4.02e+08;023.56453;-00.92806
013416.54+142239.1; 1.7977; 1.8e+02; 17.7; 1.49e+09; 3.13e+08;023.56892;+14.37755
013416.55-004716.9; 1.2616; 4.8e+01; 19.0; 8.69e+08; 1.83e+08;023.56899;-00.78804
013426.79+150556.5; 1.0194; 4.9e+01; 15.4; 5.87e+08; 1.24e+08;023.61164;+15.09905
013433.79+140510.1; 1.2953; 1.0e+00; 27.1; 2.83e+08; 5.97e+07;023.64083;+14.08616
013434.16-081518.0; 1.1812; 2.7e+01; 19.6; 6.88e+08; 1.45e+08;023.64236;-08.25501
013437.16-084650.6; 0.7773; 1.4e+01; 19.1; 4.80e+08; 1.01e+08;023.65486;-08.78074
013439.27+001731.5; 1.6626; 1.4e+02; 19.3; 1.53e+09; 3.23e+08;023.66366;+00.29210
013439.86+145219.3; 1.7679; 3.0e+01; 22.9; 9.63e+08; 2.03e+08;023.66611;+14.87204
013443.79+135831.9; 1.8251; 3.1e+01; 18.9; 6.97e+08; 1.47e+08;023.68246;+13.97555
013446.47-004652.1; 1.3461; 3.5e+01; 17.4; 6.20e+08; 1.31e+08;023.69363;-00.78115
013450.89-095258.7; 0.9974; 2.2e+01; 14.5; 3.42e+08; 7.21e+07;023.71208;-09.88299
013455.56+133425.5; 1.6416; 1.2e+01;  7.4; 7.03e+07; 1.48e+07;023.73152;+13.57376
013459.65-095447.8; 1.0951; 2.9e+01; 20.9; 8.21e+08; 1.73e+08;023.74854;-09.91330
013500.82-004054.3; 1.0087; 1.5e+01; 19.6; 5.30e+08; 1.12e+08;023.75344;-00.68177
013502.30+131933.6; 1.0224; 1.5e+01; 24.0; 7.39e+08; 1.56e+08;023.75962;+13.32603
013518.66-081253.7; 1.8395; 6.6e+01; 18.1; 9.41e+08; 1.98e+08;023.82778;-08.21494
013524.53-093837.1; 0.9386; 2.0e+01; 19.2; 5.92e+08; 1.25e+08;023.85223;-09.64365
013524.92+134018.0; 1.2963; 3.9e+00; 23.0; 3.47e+08; 7.31e+07;023.85387;+13.67167
013527.16+132917.7; 1.3100; 3.1e+01; 19.7; 7.44e+08; 1.57e+08;023.86317;+13.48827
013528.20-010540.8; 1.3571; 4.0e+01; 17.6; 6.79e+08; 1.43e+08;023.86754;-01.09469
013532.03+135838.8; 1.6158; 4.9e+01; 20.9; 1.05e+09; 2.21e+08;023.88349;+13.97745
013540.48-085201.9; 1.7804; 5.6e+01; 18.7; 8.94e+08; 1.88e+08;023.91869;-08.86720
013541.60-104321.4; 1.0785; 4.1e+01; 16.0; 5.71e+08; 1.20e+08;023.92335;-10.72262
013546.44+132741.2; 1.5936; 5.7e+01; 21.4; 1.22e+09; 2.56e+08;023.94352;+13.46145
013550.14+134312.1; 1.7281; 5.6e+00; 21.3; 3.84e+08; 8.08e+07;023.95892;+13.72004
013553.37+132826.5; 1.8195; 6.8e+00; 13.9; 1.76e+08; 3.70e+07;023.97240;+13.47405
013554.54+143739.7; 1.5895; 4.7e+01; 17.2; 6.90e+08; 1.45e+08;023.97727;+14.62771
013555.46+003924.4; 1.4699; 5.9e+01; 20.3; 1.12e+09; 2.36e+08;023.98111;+00.65678
013601.45+151041.2; 1.9534; 2.5e+01; 14.0; 3.73e+08; 7.87e+07;024.00607;+15.17811
013630.28+131057.3; 1.5506; 4.6e+00; 13.9; 1.44e+08; 3.03e+07;024.12620;+13.18260
013633.63+000819.8; 1.0494; 2.4e+01; 19.8; 6.84e+08; 1.44e+08;024.14013;+00.13885
013638.15-082051.5; 1.3283; 4.3e+01; 21.1; 1.02e+09; 2.16e+08;024.15896;-08.34766
013641.35+134521.6; 1.1467; 9.7e+00; 19.3; 3.94e+08; 8.29e+07;024.17230;+13.75601
013642.86+143348.8; 1.5587; 1.5e+01;  6.4; 5.71e+07; 1.20e+07;024.17858;+14.56358
013644.21-093721.8; 1.7413; 8.1e+01; 18.3; 1.10e+09; 2.32e+08;024.18423;-09.62272
013647.58+135528.3; 1.7616; 1.4e+01; 10.9; 1.25e+08; 2.63e+07;024.19827;+13.92455
013652.44-001524.6; 1.4864; 4.6e+01; 18.0; 7.76e+08; 1.64e+08;024.21850;-00.25684
013656.30-004623.7; 1.7165; 1.8e+02; 17.0; 1.38e+09; 2.91e+08;024.23462;-00.77328
013700.38+133542.1; 1.6555; 1.0e+01; 14.0; 2.30e+08; 4.84e+07;024.25162;+13.59503
013704.28+135042.0; 1.5197; 1.4e+01; 13.1; 1.93e+08; 4.06e+07;024.26784;+13.84502
013704.83-101633.0; 1.0761; 4.8e+01; 16.7; 6.78e+08; 1.43e+08;024.27015;-10.27585
013705.06+141344.6; 0.9903; 2.8e+01; 17.2; 5.47e+08; 1.15e+08;024.27110;+14.22906
013708.62-002438.8; 1.2171; 6.0e+01; 20.0; 1.09e+09; 2.29e+08;024.28593;-00.41080
013709.91+130827.4; 1.1195; 3.7e+01; 19.3; 7.54e+08; 1.59e+08;024.29133;+13.14095
013715.27-095824.3; 1.2915; 3.0e+01; 17.7; 5.97e+08; 1.26e+08;024.31363;-09.97344
013715.88+001830.1; 1.4975; 9.9e+01; 19.4; 1.33e+09; 2.79e+08;024.31618;+00.30837
013722.53-003600.1; 1.8154; 1.0e+02; 18.4; 1.24e+09; 2.62e+08;024.34389;-00.60004
013723.00-001746.5; 1.4418; 8.1e+01; 14.2; 6.47e+08; 1.36e+08;024.34585;-00.29626
013723.81-082133.8; 1.9562; 1.2e+02; 19.8; 1.47e+09; 3.10e+08;024.34921;-08.35941
013725.14-004906.4; 1.2079; 4.4e+01; 21.5; 1.06e+09; 2.23e+08;024.35477;-00.81847
013725.58+152121.6; 1.0653; 2.3e+01; 15.5; 4.11e+08; 8.65e+07;024.35660;+15.35601
013732.23-003452.1; 1.8045; 1.9e+02; 19.6; 1.82e+09; 3.84e+08;024.38433;-00.58114
013740.79-100250.4; 1.2911; 3.6e+01; 18.2; 6.86e+08; 1.45e+08;024.41997;-10.04734
013747.50+131327.6; 1.7148; 2.1e+01; 17.7; 4.98e+08; 1.05e+08;024.44796;+13.22435
013749.00-093033.7; 1.4448; 4.6e+01; 19.0; 8.60e+08; 1.81e+08;024.45420;-09.50937
013753.29+140354.9; 1.3615; 9.2e+00; 21.3; 4.30e+08; 9.06e+07;024.47205;+14.06527
013757.50+151047.2; 1.4224; 1.0e+01; 21.7; 5.18e+08; 1.09e+08;024.48960;+15.17979
013801.77+144336.4; 0.7681; 5.1e+00; 19.5; 3.01e+08; 6.34e+07;024.50738;+14.72680
013810.42+151028.8; 1.4645; 7.3e+00; 12.0; 1.42e+08; 3.00e+07;024.54344;+15.17467
013813.56+143756.4; 1.4575; 1.5e+01; 12.2; 1.97e+08; 4.15e+07;024.55654;+14.63236
013816.16+140431.6; 0.8719; 1.2e+01; 17.1; 3.21e+08; 6.76e+07;024.56737;+14.07547
013819.14+141716.6; 1.3502; 6.3e+00; 22.2; 4.31e+08; 9.07e+07;024.57976;+14.28796
013820.50+131833.4; 0.8596; 4.6e+00; 20.4; 3.15e+08; 6.64e+07;024.58543;+13.30930
013825.53-000534.5; 1.3410; 1.0e+02; 18.3; 1.18e+09; 2.49e+08;024.60639;-00.09293
013829.64-081228.0; 1.1041; 1.9e+01; 24.0; 8.98e+08; 1.89e+08;024.62353;-08.20780
013836.10+141634.7; 1.2071; 2.5e+01; 19.4; 6.66e+08; 1.40e+08;024.65043;+14.27632
013837.28+002818.5; 1.3481; 6.0e+01; 15.4; 6.45e+08; 1.36e+08;024.65535;+00.47182
013840.83-002914.8; 0.9773; 2.4e+01; 19.1; 6.43e+08; 1.36e+08;024.67016;-00.48746
013841.26-081858.7; 1.4211; 4.6e+01; 16.2; 6.14e+08; 1.29e+08;024.67192;-08.31631
013842.06-095741.6; 1.9368; 6.2e+01; 20.5; 1.24e+09; 2.61e+08;024.67527;-09.96158
013847.51-103127.3; 1.1030; 2.7e+01; 19.6; 6.86e+08; 1.44e+08;024.69799;-10.52427
013851.28+151327.3; 1.8377; 2.0e+01; 17.3; 4.54e+08; 9.56e+07;024.71367;+15.22425
013853.57-085632.2; 1.0200; 3.1e+01; 17.9; 6.28e+08; 1.32e+08;024.72325;-08.94230
013853.93-101125.7; 1.3034; 4.6e+01; 14.1; 4.71e+08; 9.93e+07;024.72475;-10.19048
013855.56-085243.6; 1.5925; 8.0e+01; 16.6; 8.63e+08; 1.82e+08;024.73152;-08.87880
013857.92+132402.8; 1.0861; 3.0e+01; 21.2; 8.44e+08; 1.78e+08;024.74137;+13.40079
013858.68-001536.8; 1.7970; 5.9e+01; 19.5; 9.24e+08; 1.95e+08;024.74452;-00.26024
013909.14-082635.3; 1.2490; 6.8e+01; 21.0; 1.28e+09; 2.70e+08;024.78811;-08.44316
013910.78-094223.2; 1.1756; 5.4e+01; 17.9; 8.18e+08; 1.72e+08;024.79493;-09.70646
013918.25-010202.2; 1.4796; 1.3e+02; 17.2; 1.17e+09; 2.46e+08;024.82607;-01.03396
013921.25+143048.2; 1.7452; 1.0e+01;  8.7; 9.30e+07; 1.96e+07;024.83856;+14.51340
013928.10-094015.4; 0.9407; 3.3e+01; 21.7; 9.58e+08; 2.02e+08;024.86712;-09.67096
013934.49-083053.7; 1.1532; 4.8e+01; 20.0; 9.83e+08; 2.07e+08;024.89375;-08.51494
013934.72+132805.5; 1.8713; 1.3e+01;  6.5; 6.82e+07; 1.44e+07;024.89468;+13.46819
013938.71-002348.1; 1.3786; 7.5e+01; 16.0; 7.76e+08; 1.63e+08;024.91131;-00.39670
013951.23-083935.0; 1.8461; 1.0e+02; 21.9; 1.72e+09; 3.62e+08;024.96349;-08.65974
013959.21+010736.8; 0.9664; 1.4e+01; 21.5; 5.94e+08; 1.25e+08;024.99672;+01.12692
014001.03+132751.4; 1.2948; 1.6e+02; 18.0; 1.44e+09; 3.04e+08;025.00432;+13.46430
014012.07+130241.7; 1.1916; 1.0e+01; 18.7; 4.06e+08; 8.56e+07;025.05033;+13.04494
014021.30+141452.2; 1.2760; 8.3e+00; 29.0; 8.94e+08; 1.88e+08;025.08877;+14.24784
014023.83+141151.7; 1.6609; 3.8e+01; 21.3; 9.46e+08; 1.99e+08;025.09930;+14.19770
014024.20+144257.9; 0.9926; 2.2e+01; 16.9; 4.52e+08; 9.52e+07;025.10087;+14.71608
014025.42+142416.7; 0.6255; 2.9e+00; 26.7; 3.98e+08; 8.38e+07;025.10595;+14.40466
014029.96-082039.5; 1.9310; 7.9e+01; 21.3; 1.45e+09; 3.06e+08;025.12485;-08.34432
014038.34-102433.0; 0.7929; 1.8e+01; 17.5; 4.52e+08; 9.53e+07;025.15979;-10.40919
014039.21-091757.8; 1.3851; 5.7e+01;  8.8; 2.06e+08; 4.34e+07;025.16340;-09.29940
014050.62-004405.0; 1.6594; 2.7e+02; 22.7; 2.96e+09; 6.22e+08;025.21095;-00.73472
014052.80+010142.3; 1.6382; 8.4e+01; 18.8; 1.13e+09; 2.39e+08;025.22004;+01.02842
014052.84+130728.5; 1.2949; 5.9e+01; 25.5; 1.74e+09; 3.68e+08;025.22020;+13.12460
014055.11+132633.8; 1.0114; 9.9e+00; 23.9; 5.97e+08; 1.26e+08;025.22964;+13.44273
014055.59+003908.5; 1.4863; 6.3e+01; 27.5; 2.09e+09; 4.40e+08;025.23165;+00.65236
014058.53+145141.1; 1.7470; 2.6e+01;  6.2; 6.48e+07; 1.36e+07;025.24391;+14.86144
014108.29-000754.1; 1.3942; 5.9e+01; 16.6; 7.43e+08; 1.56e+08;025.28457;-00.13171
014121.20-093548.7; 1.0878; 2.7e+01; 15.5; 4.31e+08; 9.09e+07;025.33837;-09.59687
014128.43-081445.3; 1.6004; 5.5e+01; 26.6; 1.84e+09; 3.87e+08;025.36846;-08.24592
014134.19-004648.5; 0.8609; 8.1e+00; 20.9; 4.50e+08; 9.48e+07;025.39246;-00.78016
014136.51-083847.3; 1.3426; 4.7e+01; 23.4; 1.33e+09; 2.79e+08;025.40215;-08.64648
